"reg";"ind";"rca01"
10;10;1
11;10;1
12;10;1
13;10;1
14;10;1
15;10;1
16;10;1
17;10;0
18;10;0
19;10;0
20;10;1
1;11;0
2;11;1
3;11;1
4;11;0
5;11;1
6;11;0
7;11;0
8;11;1
9;11;0
10;11;1
11;11;0
12;11;0
13;11;1
14;11;1
15;11;0
16;11;0
17;11;1
18;11;0
19;11;1
20;11;0
1;12;1
2;12;1
3;12;0
4;12;0
5;12;1
6;12;0
7;12;0
8;12;0
9;12;1
10;12;0
11;12;0
12;12;0
13;12;0
14;12;0
15;12;0
16;12;0
17;12;0
18;12;0
19;12;0
20;12;0
1;13;1
2;13;0
3;13;0
4;13;1
5;13;0
6;13;0
7;13;1
8;13;1
9;13;0
10;13;0
11;13;1
12;13;0
13;13;0
14;13;0
15;13;0
16;13;0
17;13;1
18;13;1
19;13;1
20;13;0
1;14;0
2;14;1
3;14;1
4;14;1
5;14;1
6;14;1
7;14;0
8;14;1
9;14;1
10;14;1
11;14;0
12;14;1
13;14;0
14;14;1
15;14;1
16;14;0
17;14;1
18;14;1
19;14;0
20;14;1
1;15;0
2;15;1
3;15;1
4;15;1
5;15;0
6;15;0
7;15;0
8;15;0
9;15;0
10;15;0
11;15;0
12;15;1
13;15;0
14;15;0
15;15;1
16;15;1
17;15;1
18;15;1
19;15;0
20;15;0
1;16;0
2;16;1
3;16;1
4;16;0
5;16;0
6;16;0
7;16;0
8;16;1
9;16;0
10;16;0
11;16;0
12;16;1
13;16;1
14;16;1
15;16;1
16;16;1
17;16;1
18;16;1
19;16;1
20;16;1
1;17;0
2;17;0
3;17;1
4;17;1
5;17;0
6;17;0
7;17;1
8;17;0
9;17;1
10;17;1
11;17;1
12;17;0
13;17;1
14;17;0
15;17;0
16;17;0
17;17;0
18;17;0
19;17;0
20;17;1
1;18;1
2;18;0
3;18;0
4;18;1
5;18;0
6;18;0
7;18;0
8;18;0
9;18;1
10;18;0
11;18;0
12;18;0
13;18;0
14;18;0
15;18;0
16;18;0
17;18;0
18;18;0
19;18;0
20;18;0
1;19;1
2;19;0
3;19;0
4;19;0
5;19;0
6;19;0
7;19;1
8;19;0
9;19;0
10;19;0
11;19;1
12;19;0
13;19;0
14;19;0
15;19;0
16;19;0
17;19;0
18;19;0
19;19;0
20;19;0
1;20;0
2;20;0
3;20;0
4;20;0
5;20;1
6;20;1
7;20;0
8;20;0
9;20;0
10;20;0
11;20;1
12;20;0
13;20;0
14;20;0
15;20;0
16;20;1
17;20;0
18;20;1
19;20;1
20;20;0
1;21;1
2;21;0
3;21;0
4;21;0
5;21;0
6;21;0
7;21;0
8;21;0
9;21;1
10;21;0
11;21;0
12;21;0
13;21;0
14;21;0
15;21;0
16;21;0
17;21;0
18;21;0
19;21;0
20;21;0
1;22;0
2;22;0
3;22;1
4;22;0
5;22;0
6;22;1
7;22;1
8;22;1
9;22;0
10;22;0
11;22;1
12;22;0
13;22;1
14;22;0
15;22;1
16;22;1
17;22;0
18;22;1
19;22;1
20;22;0
1;23;0
2;23;1
3;23;0
4;23;1
5;23;1
6;23;1
7;23;0
8;23;1
9;23;0
10;23;0
11;23;1
12;23;1
13;23;1
14;23;0
15;23;0
16;23;0
17;23;0
18;23;0
19;23;1
20;23;1
1;24;0
2;24;0
3;24;0
4;24;0
5;24;1
6;24;0
7;24;1
8;24;0
9;24;0
10;24;0
11;24;0
12;24;1
13;24;0
14;24;0
15;24;0
16;24;0
17;24;0
18;24;0
19;24;1
20;24;0
1;25;0
2;25;0
3;25;1
4;25;0
5;25;1
6;25;1
7;25;1
8;25;1
9;25;0
10;25;1
11;25;1
12;25;1
13;25;1
14;25;1
15;25;0
16;25;1
17;25;1
18;25;1
19;25;1
20;25;0
1;26;0
2;26;0
3;26;0
4;26;0
5;26;1
6;26;0
7;26;1
8;26;1
9;26;0
10;26;1
11;26;1
12;26;0
13;26;1
14;26;1
15;26;0
16;26;1
17;26;0
18;26;1
19;26;0
20;26;0
1;27;0
2;27;0
3;27;1
4;27;0
5;27;0
6;27;0
7;27;1
8;27;0
9;27;0
10;27;1
11;27;1
12;27;1
13;27;1
14;27;1
15;27;0
16;27;1
17;27;1
18;27;1
19;27;1
20;27;0
1;28;1
2;28;0
3;28;1
4;28;1
5;28;0
6;28;0
7;28;1
8;28;0
9;28;0
10;28;0
11;28;1
12;28;1
13;28;0
14;28;0
15;28;0
16;28;0
17;28;0
18;28;0
19;28;1
20;28;1
1;29;0
2;29;0
3;29;1
4;29;0
5;29;1
6;29;0
7;29;1
8;29;1
9;29;0
10;29;1
11;29;1
12;29;0
13;29;1
14;29;0
15;29;0
16;29;0
17;29;0
18;29;1
19;29;1
20;29;0
1;30;1
2;30;0
3;30;0
4;30;0
5;30;0
6;30;0
7;30;0
8;30;0
9;30;0
10;30;0
11;30;1
12;30;1
13;30;0
14;30;0
15;30;1
16;30;1
17;30;0
18;30;0
19;30;0
20;30;0
1;31;0
2;31;0
3;31;1
4;31;1
5;31;0
6;31;1
7;31;1
8;31;1
9;31;0
10;31;1
11;31;0
12;31;1
13;31;0
14;31;0
15;31;0
16;31;0
17;31;1
18;31;1
19;31;1
20;31;1
1;32;0
2;32;0
3;32;0
4;32;0
5;32;0
6;32;0
7;32;0
8;32;1
9;32;0
10;32;0
11;32;1
12;32;1
13;32;0
14;32;0
15;32;1
16;32;0
17;32;1
18;32;0
19;32;0
20;32;0
1;33;1
2;33;0
3;33;0
4;33;0
5;33;1
6;33;1
7;33;0
8;33;0
9;33;1
10;33;0
11;33;0
12;33;0
13;33;1
14;33;0
15;33;0
16;33;0
17;33;0
18;33;1
19;33;0
20;33;0
1;35;0
2;35;1
3;35;0
4;35;0
5;35;1
6;35;1
7;35;1
8;35;1
9;35;1
10;35;1
11;35;1
12;35;0
13;35;0
14;35;0
15;35;0
16;35;0
17;35;1
18;35;0
19;35;0
20;35;0
1;36;0
2;36;1
3;36;1
4;36;1
5;36;1
6;36;0
7;36;0
8;36;1
9;36;0
10;36;1
11;36;1
12;36;0
13;36;1
14;36;1
15;36;0
16;36;1
17;36;1
18;36;1
19;36;1
20;36;1
1;37;0
2;37;0
3;37;0
4;37;1
5;37;1
6;37;0
7;37;1
8;37;0
9;37;0
10;37;0
11;37;0
12;37;1
13;37;1
14;37;1
15;37;0
16;37;1
17;37;1
18;37;0
19;37;1
20;37;0
1;38;0
2;38;1
3;38;1
4;38;1
5;38;0
6;38;1
7;38;1
8;38;1
9;38;0
10;38;1
11;38;1
12;38;1
13;38;1
14;38;0
15;38;0
16;38;1
17;38;0
18;38;1
19;38;0
20;38;1
1;39;0
2;39;0
3;39;0
4;39;0
5;39;1
6;39;0
7;39;0
8;39;1
9;39;1
10;39;0
11;39;0
12;39;0
13;39;0
14;39;0
15;39;0
16;39;0
17;39;0
18;39;0
19;39;1
20;39;0
1;41;0
2;41;1
3;41;1
4;41;0
5;41;0
6;41;0
7;41;0
8;41;0
9;41;1
10;41;1
11;41;1
12;41;1
13;41;1
14;41;1
15;41;1
16;41;0
17;41;1
18;41;0
19;41;1
20;41;1
1;42;1
2;42;0
3;42;0
4;42;0
5;42;0
6;42;0
7;42;0
8;42;0
9;42;0
10;42;0
11;42;0
12;42;0
13;42;1
14;42;1
15;42;0
16;42;1
17;42;1
18;42;0
19;42;0
20;42;1
1;43;0
2;43;1
3;43;1
4;43;0
5;43;1
6;43;0
7;43;1
8;43;1
9;43;1
10;43;0
11;43;1
12;43;1
13;43;1
14;43;0
15;43;0
16;43;0
17;43;1
18;43;0
19;43;0
20;43;1
1;45;0
2;45;0
3;45;1
4;45;0
5;45;0
6;45;0
7;45;0
8;45;0
9;45;0
10;45;0
11;45;1
12;45;0
13;45;1
14;45;0
15;45;0
16;45;0
17;45;1
18;45;0
19;45;0
20;45;0
1;46;1
2;46;0
3;46;1
4;46;0
5;46;0
6;46;1
7;46;0
8;46;0
9;46;0
10;46;0
11;46;0
12;46;0
13;46;1
14;46;0
15;46;0
16;46;0
17;46;0
18;46;0
19;46;0
20;46;0
1;47;0
2;47;0
3;47;1
4;47;0
5;47;0
6;47;1
7;47;1
8;47;0
9;47;0
10;47;0
11;47;0
12;47;0
13;47;1
14;47;0
15;47;0
16;47;0
17;47;0
18;47;0
19;47;1
20;47;0
1;49;0
2;49;0
3;49;1
4;49;0
5;49;1
6;49;0
7;49;1
8;49;1
9;49;0
10;49;1
11;49;1
12;49;0
13;49;1
14;49;1
15;49;0
16;49;0
17;49;0
18;49;1
19;49;1
20;49;1
1;50;0
2;50;1
3;50;0
4;50;0
5;50;0
6;50;0
7;50;0
8;50;0
9;50;0
10;50;0
11;50;0
12;50;0
13;50;0
14;50;1
15;50;0
16;50;0
17;50;0
18;50;0
19;50;0
20;50;0
1;51;1
2;51;0
3;51;0
4;51;0
5;51;0
6;51;0
7;51;0
8;51;0
9;51;0
10;51;0
11;51;0
12;51;0
13;51;1
14;51;0
15;51;0
16;51;0
17;51;0
18;51;0
19;51;0
20;51;0
1;52;1
2;52;0
3;52;0
4;52;0
5;52;0
6;52;0
7;52;0
8;52;1
9;52;0
10;52;0
11;52;0
12;52;0
13;52;1
14;52;0
15;52;0
16;52;0
17;52;0
18;52;0
19;52;0
20;52;0
1;53;1
2;53;0
3;53;0
4;53;0
5;53;0
6;53;0
7;53;0
8;53;0
9;53;0
10;53;0
11;53;0
12;53;0
13;53;0
14;53;0
15;53;0
16;53;0
17;53;0
18;53;0
19;53;0
20;53;0
1;55;1
2;55;0
3;55;0
4;55;0
5;55;0
6;55;0
7;55;0
8;55;0
9;55;1
10;55;1
11;55;0
12;55;0
13;55;0
14;55;1
15;55;0
16;55;0
17;55;0
18;55;0
19;55;1
20;55;1
1;56;0
2;56;0
3;56;1
4;56;1
5;56;0
6;56;1
7;56;0
8;56;1
9;56;0
10;56;1
11;56;0
12;56;0
13;56;1
14;56;1
15;56;0
16;56;0
17;56;0
18;56;1
19;56;1
20;56;1
1;58;1
2;58;0
3;58;0
4;58;0
5;58;0
6;58;0
7;58;0
8;58;1
9;58;0
10;58;0
11;58;0
12;58;0
13;58;0
14;58;0
15;58;0
16;58;0
17;58;0
18;58;0
19;58;0
20;58;0
1;59;1
2;59;0
3;59;0
4;59;0
5;59;0
6;59;0
7;59;0
8;59;0
9;59;0
10;59;0
11;59;0
12;59;0
13;59;0
14;59;0
15;59;0
16;59;0
17;59;0
18;59;0
19;59;0
20;59;0
1;60;1
2;60;0
3;60;0
4;60;0
5;60;0
6;60;1
7;60;0
8;60;0
9;60;0
10;60;0
11;60;0
12;60;0
13;60;1
14;60;0
15;60;0
16;60;0
17;60;0
18;60;1
19;60;0
20;60;0
1;61;1
2;61;0
3;61;0
4;61;0
5;61;0
6;61;0
7;61;0
8;61;0
9;61;0
10;61;0
11;61;0
12;61;0
13;61;1
14;61;0
15;61;0
16;61;0
17;61;0
18;61;0
19;61;0
20;61;0
1;62;1
2;62;0
3;62;0
4;62;0
5;62;0
6;62;0
7;62;0
8;62;0
9;62;0
10;62;0
11;62;0
12;62;0
13;62;0
14;62;0
15;62;0
16;62;0
17;62;0
18;62;0
19;62;0
20;62;0
1;63;1
2;63;0
3;63;0
4;63;0
5;63;0
6;63;0
7;63;0
8;63;0
9;63;0
10;63;0
11;63;1
12;63;0
13;63;1
14;63;0
15;63;0
16;63;0
17;63;0
18;63;0
19;63;0
20;63;0
1;64;1
2;64;0
3;64;0
4;64;0
5;64;0
6;64;0
7;64;0
8;64;0
9;64;0
10;64;0
11;64;0
12;64;0
13;64;0
14;64;0
15;64;0
16;64;0
17;64;0
18;64;0
19;64;0
20;64;0
1;65;1
2;65;0
3;65;0
4;65;0
5;65;0
6;65;0
7;65;0
8;65;0
9;65;0
10;65;0
11;65;0
12;65;0
13;65;0
14;65;0
15;65;0
16;65;0
17;65;0
18;65;0
19;65;0
20;65;0
1;66;1
2;66;0
3;66;0
4;66;0
5;66;0
6;66;0
7;66;0
8;66;1
9;66;0
10;66;0
11;66;0
12;66;0
13;66;0
14;66;0
15;66;1
16;66;0
17;66;0
18;66;0
19;66;0
20;66;0
1;68;1
2;68;0
3;68;0
4;68;0
5;68;0
6;68;1
7;68;0
8;68;1
9;68;0
10;68;0
11;68;0
12;68;1
13;68;1
14;68;0
15;68;0
16;68;0
17;68;0
18;68;0
19;68;0
20;68;1
1;69;1
2;69;0
3;69;0
4;69;0
5;69;0
6;69;0
7;69;0
8;69;0
9;69;0
10;69;0
11;69;0
12;69;0
13;69;0
14;69;0
15;69;0
16;69;0
17;69;0
18;69;0
19;69;0
20;69;0
1;70;1
2;70;0
3;70;0
4;70;0
5;70;0
6;70;0
7;70;0
8;70;0
9;70;0
10;70;0
11;70;0
12;70;0
13;70;0
14;70;0
15;70;0
16;70;0
17;70;0
18;70;0
19;70;0
20;70;0
1;71;1
2;71;0
3;71;0
4;71;0
5;71;0
6;71;0
7;71;1
8;71;1
9;71;0
10;71;0
11;71;0
12;71;0
13;71;1
14;71;0
15;71;0
16;71;0
17;71;0
18;71;0
19;71;1
20;71;0
1;72;1
2;72;0
3;72;0
4;72;0
5;72;0
6;72;1
7;72;0
8;72;0
9;72;0
10;72;0
11;72;0
12;72;0
13;72;0
14;72;0
15;72;0
16;72;0
17;72;0
18;72;0
19;72;0
20;72;0
1;73;1
2;73;0
3;73;0
4;73;0
5;73;0
6;73;0
7;73;0
8;73;0
9;73;1
10;73;0
11;73;0
12;73;0
13;73;1
14;73;0
15;73;0
16;73;0
17;73;0
18;73;0
19;73;1
20;73;0
1;74;1
2;74;0
3;74;0
4;74;0
5;74;0
6;74;0
7;74;0
8;74;0
9;74;0
10;74;0
11;74;0
12;74;0
13;74;1
14;74;0
15;74;0
16;74;0
17;74;0
18;74;0
19;74;0
20;74;0
1;75;1
2;75;0
3;75;0
4;75;1
5;75;0
6;75;0
7;75;0
8;75;0
9;75;1
10;75;0
11;75;1
12;75;0
13;75;1
14;75;1
15;75;0
16;75;0
17;75;1
18;75;1
19;75;0
20;75;0
1;77;1
2;77;0
3;77;1
4;77;0
5;77;0
6;77;0
7;77;1
8;77;0
9;77;0
10;77;1
11;77;0
12;77;0
13;77;1
14;77;0
15;77;0
16;77;0
17;77;0
18;77;0
19;77;0
20;77;0
1;78;1
2;78;0
3;78;0
4;78;0
5;78;0
6;78;0
7;78;1
8;78;0
9;78;0
10;78;0
11;78;0
12;78;0
13;78;1
14;78;0
15;78;0
16;78;0
17;78;0
18;78;0
19;78;0
20;78;1
1;79;1
2;79;1
3;79;0
4;79;0
5;79;0
6;79;0
7;79;0
8;79;0
9;79;0
10;79;0
11;79;0
12;79;0
13;79;0
14;79;0
15;79;0
16;79;0
17;79;0
18;79;0
19;79;0
20;79;0
1;80;1
2;80;0
3;80;0
4;80;0
5;80;0
6;80;0
7;80;0
8;80;0
9;80;0
10;80;0
11;80;1
12;80;0
13;80;1
14;80;0
15;80;0
16;80;0
17;80;0
18;80;0
19;80;0
20;80;0
1;81;1
2;81;0
3;81;0
4;81;0
5;81;1
6;81;0
7;81;0
8;81;0
9;81;0
10;81;0
11;81;0
12;81;1
13;81;1
14;81;0
15;81;0
16;81;0
17;81;1
18;81;0
19;81;0
20;81;0
1;82;1
2;82;0
3;82;0
4;82;0
5;82;0
6;82;0
7;82;0
8;82;0
9;82;0
10;82;0
11;82;0
12;82;0
13;82;1
14;82;0
15;82;1
16;82;0
17;82;0
18;82;0
19;82;0
20;82;0
1;84;1
2;84;1
3;84;0
4;84;1
5;84;1
6;84;0
7;84;0
8;84;0
9;84;1
10;84;0
11;84;0
12;84;1
13;84;0
14;84;1
15;84;1
16;84;1
17;84;1
18;84;0
19;84;0
20;84;0
1;85;0
2;85;1
3;85;1
4;85;1
5;85;1
6;85;1
7;85;0
8;85;1
9;85;1
10;85;1
11;85;1
12;85;1
13;85;0
14;85;1
15;85;1
16;85;1
17;85;1
18;85;0
19;85;1
20;85;1
1;86;0
2;86;1
3;86;0
4;86;1
5;86;1
6;86;0
7;86;0
8;86;0
9;86;1
10;86;1
11;86;0
12;86;0
13;86;0
14;86;1
15;86;1
16;86;0
17;86;1
18;86;1
19;86;1
20;86;1
1;87;0
2;87;1
3;87;1
4;87;1
5;87;1
6;87;1
7;87;1
8;87;0
9;87;1
10;87;1
11;87;1
12;87;1
13;87;0
14;87;1
15;87;1
16;87;1
17;87;1
18;87;1
19;87;1
20;87;1
1;88;0
2;88;1
3;88;0
4;88;1
5;88;1
6;88;1
7;88;0
8;88;0
9;88;1
10;88;0
11;88;0
12;88;1
13;88;0
14;88;1
15;88;1
16;88;1
17;88;0
18;88;0
19;88;1
20;88;1
1;90;1
2;90;1
3;90;0
4;90;0
5;90;0
6;90;0
7;90;0
8;90;0
9;90;0
10;90;0
11;90;0
12;90;0
13;90;0
14;90;0
15;90;0
16;90;0
17;90;0
18;90;0
19;90;0
20;90;0
1;91;1
2;91;0
3;91;0
4;91;0
5;91;0
6;91;1
7;91;0
8;91;0
9;91;0
10;91;0
11;91;0
12;91;0
13;91;0
14;91;1
15;91;0
16;91;0
17;91;0
18;91;0
19;91;1
20;91;1
1;92;1
2;92;0
3;92;0
4;92;1
5;92;0
6;92;0
7;92;0
8;92;0
9;92;1
10;92;0
11;92;1
12;92;0
13;92;0
14;92;0
15;92;0
16;92;0
17;92;0
18;92;0
19;92;0
20;92;0
1;93;0
2;93;1
3;93;0
4;93;1
5;93;0
6;93;1
7;93;1
8;93;1
9;93;1
10;93;1
11;93;0
12;93;0
13;93;0
14;93;1
15;93;0
16;93;1
17;93;0
18;93;1
19;93;1
20;93;1
1;94;1
2;94;0
3;94;0
4;94;1
5;94;0
6;94;0
7;94;0
8;94;0
9;94;1
10;94;0
11;94;0
12;94;0
13;94;0
14;94;0
15;94;1
16;94;0
17;94;0
18;94;0
19;94;0
20;94;0
1;95;1
2;95;0
3;95;1
4;95;0
5;95;0
6;95;0
7;95;0
8;95;1
9;95;0
10;95;0
11;95;0
12;95;0
13;95;1
14;95;0
15;95;0
16;95;0
17;95;0
18;95;0
19;95;0
20;95;0
1;96;0
2;96;1
3;96;0
4;96;0
5;96;1
6;96;1
7;96;0
8;96;1
9;96;0
10;96;0
11;96;0
12;96;0
13;96;1
14;96;0
15;96;1
16;96;1
17;96;0
18;96;1
19;96;0
20;96;1
1;97;0
2;97;1
3;97;0
4;97;1
5;97;1
6;97;1
7;97;0
8;97;0
9;97;0
10;97;0
11;97;1
12;97;0
13;97;0
14;97;0
15;97;0
16;97;1
17;97;0
18;97;1
19;97;0
20;97;1
1;98;1
2;98;0
3;98;0
4;98;0
5;98;0
6;98;0
7;98;0
8;98;0
9;98;0
10;98;0
11;98;0
12;98;0
13;98;1
14;98;0
15;98;0
16;98;0
17;98;0
18;98;0
19;98;0
20;98;0
1;99;1
2;99;0
3;99;0
4;99;0
5;99;0
6;99;0
7;99;0
8;99;0
9;99;0
10;99;0
11;99;0
12;99;1
13;99;0
14;99;0
15;99;0
16;99;0
17;99;0
18;99;0
19;99;0
20;99;0
