"ind1_2d";"ind2_2d";"ind1";"ind2";"egk_coagg";"egk_coagg_mne";"egk_coagg_local";"coagg_porter_emp";"coagg_porter_emp_mne";"coagg_porter_emp_local";"coagg_porter_emp_mixed";"coagg_porter_rca01";"coagg_porter_rca01_mne";"coagg_porter_rca01_local";"coagg_porter_rca01_mixed";"coagg_mat";"coagg_mat_mne";"coagg_mat_local";"coagg_mat_mixed"
47;14;471;143;-0.0026498668320764;-0.00784270020868807;0.00087954829923246;0.0202934439920061;-0.00367374233776709;0.247407372550335;0.0962421239531288;0.0133933331365176;0.168420683442209;0.00691725057243294;0.128719709800758;2.64211749760625e-07;1.16339383100577e-06;3.41891661395573e-06;4.23700296774871e-05
47;14;472;141;0.000522452475701133;-0.0077269956580883;0.00176524121489382;0.171494863202673;-0.0572471005104502;0.192199706298173;0.0777887536876658;-0.0968156951203772;-0.0826673447086787;0.0115802605732169;0.0194842793067604;7.0380215219084e-07;0;1.16694849788079e-06;1.1185838965051e-05
47;14;472;142;-0.00569418837675931;-0.0363963773415776;-0.00102610995254161;0.0721340287432609;-0.0188558411079627;0.079017164988752;-0.0165893214509084;0.00877209798839066;-0.0197505634040788;0.0811491972629517;-0.0173704806112114;2.63850017665165e-05;0;9.42677030389022e-05;0
47;14;472;143;-0.000203451081654212;-0.00558346110260507;0.00253048748674085;0.0612320443477187;-0.0201205883713766;0.261788734583353;-0.047712765244004;0.125638742489043;-0.0344084502515561;0.154891823244433;-0.0672633268021957;5.39336001138358e-07;0;5.62892661217844e-06;0
47;14;473;141;0.00625748913077577;0.0022159134612561;0.00385609706771127;0.307646823621419;-0.0274440873261388;0.149964318419371;-0.0397269580752046;0.0651416442824791;-0.0421496545915818;0.0194557313518263;-0.0696086260799785;3.73206551852348e-06;0;4.30502096478169e-06;1.04486728338544e-06
47;14;473;142;-0.0124437946316397;-0.0264534682222332;-0.00256296490173593;-0.0289606519294201;-0.00903943335750712;0.0337037610565571;-0.00797479722563673;0.0329798153683605;-0.0100702330334273;0.0983812560837655;-0.00888242863167512;1.79683823851455e-05;0;0.000251067034898318;0
47;14;473;143;-0.00189616288630146;0.00435944801673934;0.00181532363856594;-0.0061258500418847;-0.00964574938108092;0.141008723694067;-0.022936419010345;0.108062571948379;-0.0175438596491228;0.173182610953696;-0.0343952313825977;1.06875856854398e-06;0;1.66313118177404e-05;0
47;14;474;141;-0.00248090548565062;-0.0190962007586558;-0.000173691035952087;0.141732854530242;-0.0389474511421128;0.202188753663008;-0.00388838910863122;-0.0101635434790719;-0.05473600515114;0.0925951764394158;-0.0903311807861617;9.53569077710275e-07;0;1.75637554560037e-06;7.0026851675539e-06
47;14;474;142;0.00351407529699222;-0.0477655824421451;-0.0142166911964978;0.159704149784311;-0.0128283693627725;-0.0125152098059946;-0.0113080416554263;0.0637954354375822;-0.0130773154022701;-0.0388647991130363;-0.0115267361494268;7.25382818789806e-05;0;3.06646340394961e-05;0
47;14;474;143;-0.00285727409560928;-0.0169526662031726;0.0034071054159569;0.0530864217188031;-0.0136888266053178;0.269798779874123;0.093966123277634;-0.00171731539367572;-0.0227826491445805;0.0848029069194583;0.206595011626709;7.55927672336716e-07;0;9.34497508688663e-06;7.64096806387226e-05
47;14;475;141;0.00271730190223736;-0.00959982306851521;0.00349112144526591;0.317072892579026;-0.0376650837328389;0.299212605034217;-0.00317959436755018;0.0640383332784182;-0.0601384779324264;0.119902371081251;-0.0992115514301272;7.20511893257498e-07;0;1.11149891817244e-06;3.25929847314815e-06
47;14;475;142;-0.0101869452572009;-0.0382692047520045;-0.00107012997076343;0.0120500589222097;-0.0124059878640469;0.0825741128643487;-0.0109368912408479;0.00877209798839066;-0.014368053378452;0.0794957438097097;-0.0126599183843012;1.21132701223432e-05;0;7.50443991769934e-05;0
47;14;475;143;0.00193507294075545;-0.00745628851303199;0.00419814522561689;0.101268589573096;-0.0132381140530173;0.33314807024097;0.023598047309792;0.0435464298179271;-0.0250313087160879;0.148871722750226;0.0659472320485756;5.38750778427118e-07;0;5.06925115527528e-06;1.58746488066521e-05
47;14;476;141;-0.000497327656811755;-0.0183378392300587;0.00105019516388596;0.230622557302765;-0.0233156334479732;0.264782275118395;-0.0347973634446117;0.0490797367918024;-0.0421496545915818;0.108767187069376;-0.0696086260799785;2.04741812891352e-06;0;3.50514249240481e-06;6.19953536147484e-07
47;14;476;142;0.0132581442633067;-0.047007220913548;0.00517244054839473;0.266271386056228;-0.00767961828121285;0.132334842085983;-0.00677669044040831;0.160699022474239;-0.0100702330334273;0.110577143727759;-0.00888242863167512;0.000183871673716576;0;0.000376780286855392;0
47;14;476;143;-0.00342980881910442;0.00560781672974205;-0.00153896949888815;0.0434244386444126;0.0223336453960481;0.179591675383297;-0.00172102592093923;0.149794832291085;0.321637426900585;0.0814124387518518;0.126934782483396;1.21377995174136e-06;2.82881501873073e-06;1.22256178407045e-05;6.00531927159801e-06
47;14;477;141;-0.000289892641205104;-0.0163191697167396;0.00174929662750352;0.217536000122449;-0.0467302041414159;0.284837325450116;0.0648253414804695;0.0618977826189002;-0.0977413909661662;0.0843484492610741;-0.0259853738468981;2.6679825936302e-07;1.75316902167363e-08;5.67309102098997e-07;5.54550000133485e-07
47;14;477;142;0.00536453563898191;-0.0252565172966523;-0.0028171773539524;0.22348840177918;0.0415721879900035;0.0789080161142189;-0.0148746390759291;0.118689164212979;-0.0233519964416791;0.0778829868276006;-0.0205060447058291;1.95309259980398e-05;1.85075921844659e-05;3.84098853412116e-05;0
47;14;477;143;-0.000398689577564304;-0.0122957113340412;0.00251145739025872;0.0840837013560066;-0.010633088429178;0.320776690287516;0.0613493159431919;0.187286142442651;0.116623705461486;0.103279626539172;0.0695739942214216;2.15961561811098e-07;4.27176712330245e-08;2.60649478774787e-06;2.19881554601748e-06
47;14;478;141;0.00207861346935745;-0.00957673108679379;0.00278528053394783;0.180902843980195;-0.0248905967020512;0.173999305950636;-0.0298614043825394;0.0822944686608824;-0.034314859277946;0.113321219454357;0.0621169842382915;4.86707548872488e-06;0;7.57914854375214e-06;3.44959860470636e-06
47;14;478;142;-0.0150909679795746;-0.0382461127702831;-0.00732497713944881;-0.0313600107553869;-0.00819837393180434;0.0109886724926839;-0.00723385262202619;-0.0574811140450819;-0.00819837393180434;-0.039424156170321;-0.00723385262202619;2.05981708824256e-05;0;0.000291375291375291;0
47;14;478;143;-0.00322836851978375;0.00750529406053661;-7.64741450420452e-06;0.00317260677550689;0.0135822871086431;0.129445407165098;-0.020805378507242;0.134908669247684;0.39991839232803;0.0341354427272516;-0.0280114870650279;1.99235675190299e-06;6.80137931972604e-06;2.20094484690293e-05;0
