"town";"year";"kod";"area";"pop";"type";"nuts3";"nuts4"
"Acsád";2020;721;14.34;631;"község";"Vas";"Szombathelyi"
"Acsád";2022;721;14.34;646;"község";"Vas";"Szombathelyi"
"Adony";2017;892;61.05;3840;"város";"Fejér";"Dunaújvárosi"
"Adony";2021;892;61.05;4156;"város";"Fejér";"Dunaújvárosi"
"Adony";2020;892;61.05;4106;"város";"Fejér";"Dunaújvárosi"
"Adony";2015;892;61.05;3785;"város";"Fejér";"Dunaújvárosi"
"Adony";2022;892;61.05;4205;"város";"Fejér";"Dunaújvárosi"
"Adony";2016;892;61.05;3813;"város";"Fejér";"Dunaújvárosi"
"Adony";2019;892;61.05;4033;"város";"Fejér";"Dunaújvárosi"
"Adony";2018;892;61.05;3931;"város";"Fejér";"Dunaújvárosi"
"Adorjánház";2020;3130;11.42;411;"község";"Veszprém";"Devecseri"
"Adorjánház";2021;3130;11.42;398;"község";"Veszprém";"Devecseri"
"Adorjánház";2018;3130;11.42;397;"község";"Veszprém";"Devecseri"
"Adorjánház";2019;3130;11.42;409;"község";"Veszprém";"Devecseri"
"Adorjánház";2015;3130;11.42;390;"község";"Veszprém";"Devecseri"
"Adorjánház";2016;3130;11.42;393;"község";"Veszprém";"Devecseri"
"Adorjánház";2017;3130;11.42;409;"község";"Veszprém";"Devecseri"
"Adorjánház";2022;3130;11.42;392;"község";"Veszprém";"Devecseri"
"Adorjás";2018;686;8.1;205;"község";"Baranya";"Sellyei"
"Adorjás";2021;686;8.1;175;"község";"Baranya";"Sellyei"
"Adorjás";2017;686;8.1;211;"község";"Baranya";"Sellyei"
"Adorjás";2019;686;8.1;191;"község";"Baranya";"Sellyei"
"Adorjás";2015;686;8.1;204;"község";"Baranya";"Sellyei"
"Adorjás";2016;686;8.1;205;"község";"Baranya";"Sellyei"
"Adorjás";2022;686;8.1;180;"község";"Baranya";"Sellyei"
"Adorjás";2020;686;8.1;192;"község";"Baranya";"Sellyei"
"Adács";2018;2324;37.94;2629;"község";"Heves";"Gyöngyösi"
"Adács";2020;2324;37.94;2673;"község";"Heves";"Gyöngyösi"
"Adács";2015;2324;37.94;2623;"község";"Heves";"Gyöngyösi"
"Adács";2021;2324;37.94;2659;"község";"Heves";"Gyöngyösi"
"Adács";2019;2324;37.94;2653;"község";"Heves";"Gyöngyösi"
"Adács";2016;2324;37.94;2590;"község";"Heves";"Gyöngyösi"
"Adács";2022;2324;37.94;2679;"község";"Heves";"Gyöngyösi"
"Adács";2017;2324;37.94;2617;"község";"Heves";"Gyöngyösi"
"Adásztevel";2019;730;8.37;840;"község";"Veszprém";"Pápai"
"Adásztevel";2016;730;8.37;851;"község";"Veszprém";"Pápai"
"Adásztevel";2015;730;8.37;835;"község";"Veszprém";"Pápai"
"Adásztevel";2022;730;8.37;824;"község";"Veszprém";"Pápai"
"Adásztevel";2021;730;8.37;836;"község";"Veszprém";"Pápai"
"Adásztevel";2017;730;8.37;842;"község";"Veszprém";"Pápai"
"Adásztevel";2018;730;8.37;840;"község";"Veszprém";"Pápai"
"Adásztevel";2020;730;8.37;849;"község";"Veszprém";"Pápai"
"Aggtelek";2021;936;43.82;531;"község";"Borsod-Abaúj-Zemplén";"Putnoki"
