"ind1_2d";"ind2_2d";"ind1";"ind2";"egk_coagg";"egk_coagg_mne";"egk_coagg_local";"coagg_porter_emp";"coagg_porter_emp_mne";"coagg_porter_emp_local";"coagg_porter_emp_mixed";"coagg_porter_rca01";"coagg_porter_rca01_mne";"coagg_porter_rca01_local";"coagg_porter_rca01_mixed";"coagg_mat";"coagg_mat_mne";"coagg_mat_local";"coagg_mat_mixed"
20;23;205;232;-0.00577729016881018;-0.0151716154372064;-0.00326464298524341;-0.0255633516865342;-0.016761525469422;-0.028172257955984;-0.00188122609107765;-0.08965889295756;-0.0282155091926423;-0.0182940433316151;-0.0377600533595243;7.11460519631454e-08;0;1.09313928625809e-07;2.34669085089202e-07
20;23;205;233;0.00249131759497047;-0.0054326021486457;0.00875960822367017;0.0237290446355075;-0.0138471668755622;0.0809253849078724;-0.0166242579295019;-0.0456143426072043;-0.0198270690241927;0.0054615461367936;0.0276187861283987;2.91656642527212e-07;0;7.75011777746483e-07;1.99674063633165e-07
20;23;205;234;-0.00600368159796244;-0.0151732598642203;-0.0026254202638717;-0.01563395166885;-0.0121477169736863;-0.00733705190761025;-0.0172940658853746;-0.103177484046397;-0.0243588675923112;-0.0875648934713198;-0.0565999808625509;2.83966995064246e-08;0;5.09683119900482e-08;8.91884306202887e-09
20;23;205;235;-0.00813398527596577;-0.0152884476392461;-0.00588791292172946;-0.0162356865765338;-0.0129632690027297;-0.00538021551242286;-0.0202740079538957;0.0262622266517691;-0.0243588675923112;0.0843435397965904;-0.0446831920323274;9.4277154728362e-08;0;1.52007293652178e-07;1.07807524734148e-08
20;23;205;236;-0.00615495089707241;-0.0163521140983313;-0.00180324721105905;0.0719265445640604;-0.0274619797484818;0.0884030651570688;0.216424492960579;0.0275143511871206;-0.0523699917295704;-0.0191862610482233;-0.0166326916189949;2.67513314437698e-07;0;6.39210547215064e-07;1.45603459822486e-06
20;23;205;237;3.35672473329114e-05;-0.0157670435862977;0.00228767418026118;0.130049338399834;-0.013648956562249;0.116158566722895;0.0833680822131995;-0.0302121070947592;-0.0198270690241927;-0.00789632282798557;-0.0635641726163728;3.49663763451931e-06;0;4.27146012137291e-06;4.35357117213016e-06
20;23;205;239;-0.00647598343451836;-0.00126516859753317;-0.00521506058250123;-0.0345237990406131;-0.0100083457559494;-0.0318220348556305;-0.0179893734528712;0.029799772540308;-0.0404143504504977;-0.0613265032600354;-0.0637243745830395;2.90828045684602e-08;2.99712460485039e-07;3.05459149363509e-08;1.87828561163313e-09
20;23;206;231;-0.00301598305850335;NA;-0.0013717632337432;-0.00427604270897453;NA;0.011631811214998;NA;0.0360658273298486;NA;0.122531335533327;NA;4.38177859220899e-07;NA;1.03557548390029e-06;0
20;23;206;232;-0.00623205115759041;NA;-0.00555846455510866;-0.0164108408064687;NA;-0.0147430917245876;NA;-0.0419161676646707;NA;-0.0449450361329944;NA;1.45567467447976e-07;NA;3.26191429546604e-07;0
20;23;206;233;0.00488960529762301;NA;0.00740367307192838;0.0220180277019796;NA;0.0425496663281786;NA;-0.000479214119845685;NA;-0.000479214119845685;NA;1.61247730555606e-06;NA;3.05305719883395e-06;0
