"y_values";"x_values";"AME";"SE";"z";"p";"lower";"upper";"dep_var";"x_var"
"io_norm3";0.7;0.140324529314482;0.042741292070035;3.28311388164281;0.00102667181708604;0.0565531362045309;0.224095922424483;"egk_coagg_stand_nuts4";"sr_norm"
"io_norm3";0.8;0.150381586673861;0.0456239275036602;3.29611225736312;0.000980328347010751;0.0609603319333903;0.239802841414271;"egk_coagg_stand_nuts4";"sr_norm"
"io_norm3";0.9;0.160438644033203;0.0487139282683663;3.29348606725662;0.000989532457400677;0.0649610990816588;0.25591618898459;"egk_coagg_stand_nuts4";"sr_norm"
"io_norm3";1;0.170495701392582;0.051974183203079;3.2803921271144;0.00103662898087249;0.0686281741886823;0.272363228596525;"egk_coagg_stand_nuts4";"sr_norm"
"sr_norm";-1;0.0781493919697964;0.0256125660159723;3.05121290545671;0.00227918897508067;0.0279496850268858;0.128349098912806;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";-0.9;0.0882064493291839;0.0239773219149719;3.67874484239651;0.000234384613051708;0.0412117619301595;0.135201136728295;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";-0.8;0.0982635066885708;0.0230346556249364;4.26589866540894;1.99099140242272e-05;0.0531164112673603;0.143410602109677;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";-0.7;0.108320564047942;0.0228703132943313;4.73629559218983;2.17660058512586e-06;0.0634955736759296;0.153145554420003;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";-0.6;0.118377621407344;0.0235007116854346;5.03719304299674;4.72408283770857e-07;0.0723170728928914;0.164438169921914;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";-0.5;0.128434678766716;0.0248655092236932;5.16517388046637;2.40215509001323e-07;0.0796991762310005;0.177170181302375;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";-0.4;0.138491736126118;0.0268527858014006;5.15744389242825;2.50343830843738e-07;0.0858612430708444;0.191122229181472;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";-0.3;0.148548793485498;0.0293365526810094;5.06360768085947;4.11395833202279e-07;0.0910502068001227;0.206047380170803;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";-0.2;0.158605850844885;0.0322018974725214;4.9253573017002;8.42063434914818e-07;0.095491291564869;0.221720410124856;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";-0.1;0.168662908204271;0.0353563698559146;4.77036836337022;1.83889325877835e-06;0.0993656966625218;0.237960119745862;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0;0.178719965563658;0.0387291649330259;4.61460932278601;3.93835430792152e-06;0.102812197143642;0.254627733983727;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0.1;0.188777022923046;0.0422682239019796;4.46616880238028;7.96327863543453e-06;0.105932826384793;0.271621219461503;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0.2;0.198834080282441;0.0459351440294626;4.32858292889883;1.50071824080042e-05;0.10880285236012;0.288865308204934;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0.3;0.208891137641835;0.0497014828501543;4.20291560055912;2.63498855153247e-05;0.111478021277456;0.306304254006531;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0.4;0.218948195001215;0.0535466636261389;4.08892319659548;4.33380304306817e-05;0.113998662801557;0.323897727200583;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0.5;0.229005252360601;0.0574542048808357;3.98587453843588;6.7232032203791e-05;0.116397080033687;0.341613424687334;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0.6;0.239062309719989;0.0614126988469413;3.89271786142803;9.91274119481588e-05;0.118695631786492;0.359428987653311;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0.7;0.249119367079379;0.0654126851365722;3.80842594306064;0.00013985421780898;0.12091286007966;0.37732587407914;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0.8;0.259176424438762;0.0694469867086655;3.73200388846278;0.000189962568523399;0.123062831655063;0.395290017222696;"egk_coagg_stand_nuts4";"io_norm3"
"sr_norm";0.9;0.269233481798153;0.0735101241692656;3.66253607704717;0.000249730568364947;0.125156285927461;0.413310677669117;"egk_coagg_stand_nuts4";"io_norm3"
