"ind_i";"ind_j";"c_ij";"c_i";"c_j";"c";"c_rel";"cr_norm";"e_id"
22;2;0;0;0;468;NA;-1;108
2;23;0;0;6;468;NA;-1;109
23;2;0;4;0;468;NA;-1;109
2;24;0;0;0;468;NA;-1;110
24;2;0;0;0;468;NA;-1;110
2;25;0;0;1;468;NA;-1;111
25;2;0;2;0;468;NA;-1;111
2;26;0;0;27;468;NA;-1;112
26;2;0;11;0;468;NA;-1;112
2;27;0;0;9;468;NA;-1;113
27;2;0;10;0;468;NA;-1;113
2;28;0;0;17;468;NA;-1;114
28;2;0;37;0;468;NA;-1;114
2;29;0;0;17;468;NA;-1;115
29;2;0;16;0;468;NA;-1;115
2;30;0;0;0;468;NA;-1;116
30;2;0;0;0;468;NA;-1;116
2;31;0;0;0;468;NA;-1;117
31;2;0;0;0;468;NA;-1;117
2;32;0;0;14;468;NA;-1;118
32;2;0;7;0;468;NA;-1;118
2;33;0;0;0;468;NA;-1;119
33;2;0;0;0;468;NA;-1;119
2;35;0;0;0;468;NA;-1;120
35;2;0;0;0;468;NA;-1;120
2;36;0;0;0;468;NA;-1;121
36;2;0;0;0;468;NA;-1;121
2;37;0;0;0;468;NA;-1;122
37;2;0;0;0;468;NA;-1;122
2;38;0;0;0;468;NA;-1;123
38;2;0;0;0;468;NA;-1;123
2;39;0;0;0;468;NA;-1;124
39;2;0;0;0;468;NA;-1;124
2;41;0;0;0;468;NA;-1;125
41;2;0;0;0;468;NA;-1;125
2;42;0;0;0;468;NA;-1;126
42;2;0;0;0;468;NA;-1;126
2;43;0;0;8;468;NA;-1;127
43;2;0;0;0;468;NA;-1;127
2;45;0;0;0;468;NA;-1;128
45;2;0;0;0;468;NA;-1;128
2;46;0;0;0;468;NA;-1;129
46;2;0;0;0;468;NA;-1;129
2;47;0;0;0;468;NA;-1;130
47;2;0;0;0;468;NA;-1;130
2;49;0;0;0;468;NA;-1;131
49;2;0;0;0;468;NA;-1;131
2;50;0;0;0;468;NA;-1;132
50;2;0;0;0;468;NA;-1;132
2;51;0;0;0;468;NA;-1;133
51;2;0;0;0;468;NA;-1;133
2;52;0;0;0;468;NA;-1;134
52;2;0;0;0;468;NA;-1;134
2;53;0;0;0;468;NA;-1;135
53;2;0;0;0;468;NA;-1;135
2;55;0;0;0;468;NA;-1;136
55;2;0;0;0;468;NA;-1;136
2;56;0;0;0;468;NA;-1;137
56;2;0;0;0;468;NA;-1;137
2;58;0;0;0;468;NA;-1;138
58;2;0;0;0;468;NA;-1;138
2;59;0;0;0;468;NA;-1;139
59;2;0;0;0;468;NA;-1;139
2;60;0;0;0;468;NA;-1;140
60;2;0;0;0;468;NA;-1;140
2;61;0;0;0;468;NA;-1;141
61;2;0;0;0;468;NA;-1;141
2;62;0;0;0;468;NA;-1;142
62;2;0;0;0;468;NA;-1;142
2;63;0;0;0;468;NA;-1;143
63;2;0;0;0;468;NA;-1;143
2;64;0;0;0;468;NA;-1;144
64;2;0;0;0;468;NA;-1;144
2;65;0;0;0;468;NA;-1;145
65;2;0;0;0;468;NA;-1;145
2;66;0;0;0;468;NA;-1;146
66;2;0;0;0;468;NA;-1;146
2;68;0;0;0;468;NA;-1;147
68;2;0;0;0;468;NA;-1;147
2;69;0;0;0;468;NA;-1;148
69;2;0;0;0;468;NA;-1;148
2;70;0;0;0;468;NA;-1;149
70;2;0;0;0;468;NA;-1;149
2;71;0;0;0;468;NA;-1;150
71;2;0;0;0;468;NA;-1;150
2;72;0;0;0;468;NA;-1;151
72;2;0;0;0;468;NA;-1;151
2;73;0;0;0;468;NA;-1;152
73;2;0;0;0;468;NA;-1;152
2;74;0;0;0;468;NA;-1;153
74;2;0;0;0;468;NA;-1;153
2;75;0;0;0;468;NA;-1;154
75;2;0;0;0;468;NA;-1;154
2;77;0;0;0;468;NA;-1;155
77;2;0;0;0;468;NA;-1;155
2;78;0;0;0;468;NA;-1;156
78;2;0;0;0;468;NA;-1;156
2;79;0;0;0;468;NA;-1;157
79;2;0;0;0;468;NA;-1;157
2;80;0;0;0;468;NA;-1;158
80;2;0;0;0;468;NA;-1;158
2;81;0;0;0;468;NA;-1;159
81;2;0;0;0;468;NA;-1;159
2;82;0;0;0;468;NA;-1;160
82;2;0;0;0;468;NA;-1;160
2;84;0;0;0;468;NA;-1;161
84;2;0;0;0;468;NA;-1;161
2;85;0;0;0;468;NA;-1;162
85;2;0;0;0;468;NA;-1;162
2;86;0;0;0;468;NA;-1;163
86;2;0;0;0;468;NA;-1;163
2;87;0;0;0;468;NA;-1;164
87;2;0;0;0;468;NA;-1;164
2;88;0;0;0;468;NA;-1;165
88;2;0;0;0;468;NA;-1;165
2;90;0;0;0;468;NA;-1;166
90;2;0;0;0;468;NA;-1;166
2;91;0;0;0;468;NA;-1;167
91;2;0;0;0;468;NA;-1;167
2;92;0;0;0;468;NA;-1;168
92;2;0;0;0;468;NA;-1;168
2;93;0;0;0;468;NA;-1;169
93;2;0;0;0;468;NA;-1;169
2;94;0;0;0;468;NA;-1;170
94;2;0;0;0;468;NA;-1;170
2;95;0;0;0;468;NA;-1;171
95;2;0;0;0;468;NA;-1;171
2;96;0;0;0;468;NA;-1;172
96;2;0;0;0;468;NA;-1;172
2;97;0;0;0;468;NA;-1;173
97;2;0;0;0;468;NA;-1;173
2;98;0;0;0;468;NA;-1;174
98;2;0;0;0;468;NA;-1;174
2;99;0;0;0;468;NA;-1;175
99;2;0;0;0;468;NA;-1;175
3;3;0;0;0;468;NA;-0.5;176
3;5;0;0;0;468;NA;-1;177
5;3;0;0;0;468;NA;-1;177
3;6;0;0;0;468;NA;-1;178
6;3;0;0;0;468;NA;-1;178
3;7;0;0;0;468;NA;-1;179
7;3;0;0;0;468;NA;-1;179
3;8;0;0;0;468;NA;-1;180
8;3;0;0;0;468;NA;-1;180
3;9;0;0;0;468;NA;-1;181
9;3;0;0;0;468;NA;-1;181
3;10;0;0;4;468;NA;-1;182
10;3;0;19;0;468;NA;-1;182
3;11;0;0;0;468;NA;-1;183
11;3;0;0;0;468;NA;-1;183
3;12;0;0;0;468;NA;-1;184
12;3;0;0;0;468;NA;-1;184
3;13;0;0;0;468;NA;-1;185
13;3;0;0;0;468;NA;-1;185
3;14;0;0;0;468;NA;-1;186
14;3;0;0;0;468;NA;-1;186
3;15;0;0;0;468;NA;-1;187
15;3;0;0;0;468;NA;-1;187
3;16;0;0;0;468;NA;-1;188
16;3;0;0;0;468;NA;-1;188
