"appln_id";"ctry_code";"IPC4d"
367047;"HU";"B22D"
367047;"HU";"C22C"
373039;"HU";"A61K"
373039;"HU";"A61P"
374295;"HU";"H04L"
377712;"HU";"B01L"
377712;"HU";"G01N"
377716;"HU";"G06F"
377806;"HU";"A61B"
377806;"HU";"C12Q"
378447;"HU";"F16F"
378639;"HU";"C08B"
382080;"HU";"H04L"
382080;"HU";"H04Q"
382080;"HU";"H04W"
385337;"HU";"A01H"
385337;"HU";"C07K"
385337;"HU";"C12N"
385604;"HU";"B60T"
385604;"HU";"F16D"
385734;"HU";"B62D"
385734;"HU";"F16H"
385791;"HU";"F16D"
386035;"HU";"A61K"
386035;"HU";"A61P"
386700;"HU";"H01J"
387462;"HU";"A61K"
387462;"HU";"C07C"
387462;"HU";"C07D"
387463;"HU";"A61K"
387463;"HU";"C07C"
387464;"HU";"A61K"
387464;"HU";"A61P"
387464;"HU";"C07C"
387465;"HU";"A61K"
387465;"HU";"C07C"
387465;"HU";"C07D"
388875;"HU";"B60R"
389958;"HU";"H04L"
389958;"HU";"H04M"
391502;"HU";"C07D"
392411;"HU";"B60G"
392411;"HU";"B60T"
392411;"HU";"B62H"
392609;"HU";"F16H"
395055;"HU";"H04L"
395055;"HU";"H04Q"
395055;"HU";"H04W"
395897;"HU";"A61K"
395897;"HU";"A61P"
395897;"HU";"C07D"
395897;"HU";"C07F"
395897;"HU";"C12N"
396080;"HU";"A61K"
396080;"HU";"A61P"
397388;"HU";"C12Q"
397388;"HU";"G01N"
398920;"HU";"A01K"
398968;"HU";"H04Q"
398968;"HU";"H04W"
400076;"HU";"A61K"
400076;"HU";"A61P"
400076;"HU";"C07C"
400233;"HU";"C07D"
401715;"HU";"A61K"
401715;"HU";"A61P"
401715;"HU";"C07D"
406573;"HU";"C07J"
407175;"HU";"C03C"
407175;"HU";"C04B"
407175;"HU";"H02K"
407492;"HU";"A23L"
407492;"HU";"A61K"
407492;"HU";"A61P"
408136;"HU";"H04W"
408978;"HU";"B01D"
408978;"HU";"B01J"
408978;"HU";"C01B"
409162;"HU";"A61K"
409162;"HU";"A61P"
409162;"HU";"C07D"
411870;"HU";"A61B"
412701;"HU";"A01B"
412701;"HU";"A01D"
412801;"HU";"G06F"
413275;"HU";"B65F"
413275;"HU";"B67C"
413948;"HU";"A01M"
414221;"HU";"G06F"
414221;"HU";"H04L"
414221;"HU";"H04Q"
414221;"HU";"H04W"
414947;"HU";"A61K"
414947;"HU";"A61P"
414947;"HU";"C07D"
415832;"HU";"H04W"
416002;"HU";"A61K"
416002;"HU";"A61P"
416002;"HU";"C07C"
416652;"HU";"C07C"
417047;"HU";"C07D"
417932;"HU";"A61K"
422284;"HU";"H04L"
422284;"HU";"H04Q"
422284;"HU";"H04W"
423216;"HU";"H04L"
426802;"HU";"H04L"
426802;"HU";"H04Q"
426802;"HU";"H04W"
431460;"HU";"A61K"
431460;"HU";"A61P"
431460;"HU";"C07D"
432396;"HU";"C07D"
432646;"HU";"C07D"
432886;"HU";"G07F"
432967;"HU";"G04B"
444965;"HU";"H03M"
444965;"HU";"H04L"
446036;"HU";"E05C"
446814;"HU";"H01J"
447583;"HU";"A01N"
447583;"HU";"A01P"
447584;"HU";"E04H"
447939;"HU";"B01D"
447939;"HU";"B29C"
448320;"HU";"A23L"
448320;"HU";"A61K"
448320;"HU";"A61P"
454438;"HU";"G01C"
15706754;"HU";"B01D"
15706754;"HU";"C02F"
15709321;"HU";"H04Q"
15710375;"HU";"A61K"
15710375;"HU";"A61P"
15710375;"HU";"C07K"
15710375;"HU";"C12N"
15710375;"HU";"C12P"
15710375;"HU";"C12Q"
15710375;"HU";"C12R"
15710375;"HU";"G01N"
15710443;"HU";"C02F"
15714958;"HU";"A61K"
15714958;"HU";"A61P"
15714958;"HU";"C07B"
15714958;"HU";"C07C"
15714959;"HU";"A61K"
15714959;"HU";"A61P"
15714959;"HU";"C07B"
15714959;"HU";"C07C"
15715658;"HU";"A61K"
15715658;"HU";"A61P"
15715658;"HU";"C07C"
15715658;"HU";"C07K"
15721868;"HU";"B01J"
15721868;"HU";"C07B"
15721868;"HU";"C07C"
15721868;"HU";"C07F"
15721868;"HU";"C12P"
15724756;"HU";"B65B"
15724756;"HU";"B65D"
15725077;"HU";"A61M"
15726854;"HU";"B01D"
15739656;"HU";"C01G"
15739656;"HU";"H01J"
15742208;"HU";"H01J"
15742307;"HU";"H01J"
15742515;"HU";"H01J"
15742969;"HU";"F21S"
15742969;"HU";"F21V"
15742969;"HU";"F21W"
15742969;"HU";"F21Y"
15742969;"HU";"H01K"
15743488;"HU";"H01J"
15748707;"HU";"G06F"
15748707;"HU";"H04M"
15750538;"HU";"H04L"
15750538;"HU";"H04M"
15750539;"HU";"H04L"
15750539;"HU";"H04M"
15750540;"HU";"H04J"
15750540;"HU";"H04L"
15750540;"HU";"H04M"
15750764;"HU";"C01B"
15753590;"HU";"A61K"
15753590;"HU";"A61P"
15754232;"HU";"H04M"
15754232;"HU";"H04Q"
15754341;"HU";"E02D"
15755132;"HU";"C12Q"
15755527;"HU";"A61K"
15755527;"HU";"A61P"
15755527;"HU";"C07K"
15755527;"HU";"C12N"
15755527;"HU";"G01N"
15755975;"HU";"A61K"
15755975;"HU";"A61P"
15756220;"HU";"C12P"
15756220;"HU";"C12R"
15756222;"HU";"A61K"
15756222;"HU";"A61P"
15756222;"HU";"C07D"
15756222;"HU";"C12N"
15756222;"HU";"C12P"
15756222;"HU";"C12R"
15756887;"HU";"A61K"
15756887;"HU";"A61P"
15756887;"HU";"C07D"
15758128;"HU";"C07B"
15758128;"HU";"C07C"
15758128;"HU";"C12N"
15758128;"HU";"C12P"
15758128;"HU";"C12R"
15759818;"HU";"A23K"
15759818;"HU";"A23L"
15759818;"HU";"A61K"
15759818;"HU";"A61P"
15760175;"HU";"B30B"
15762300;"HU";"C07K"
15762300;"HU";"C12N"
15762301;"HU";"G02B"
15763377;"HU";"A46B"
15763377;"HU";"A46D"
15763409;"HU";"H04L"
15763508;"HU";"H04L"
15764458;"HU";"F21S"
15764458;"HU";"F21V"
15764458;"HU";"F21W"
15764458;"HU";"F21Y"
15766495;"HU";"A44C"
15766496;"HU";"A01G"
15766497;"HU";"B01F"
15766497;"HU";"C09K"
15766497;"HU";"C10L"
15766497;"HU";"F02M"
15766498;"HU";"C07D"
15766499;"HU";"A61K"
15766499;"HU";"A61P"
15766499;"HU";"C07B"
15766499;"HU";"C07C"
15766509;"HU";"A61K"
15766509;"HU";"A61P"
15766509;"HU";"C07K"
15766509;"HU";"C12N"
15766509;"HU";"G01N"
15767456;"HU";"H04L"
15767456;"HU";"H04M"
15767504;"HU";"C08J"
15767504;"HU";"C08L"
15767725;"HU";"A61K"
15767725;"HU";"A61P"
15767725;"HU";"C07B"
15767725;"HU";"C07C"
15769158;"HU";"H01J"
15769158;"HU";"H05B"
15770806;"HU";"A23L"
15770807;"HU";"C07C"
15770807;"HU";"C07D"
15770808;"HU";"C07J"
15770809;"HU";"C07C"
15770809;"HU";"C07D"
15771831;"HU";"A61K"
15771831;"HU";"A61L"
15771832;"HU";"C07D"
15772822;"HU";"E04B"
15772822;"HU";"E04H"
15773414;"HU";"B60G"
15773414;"HU";"F16F"
15773608;"HU";"A61K"
15773608;"HU";"A61P"
15774589;"HU";"G01N"
15774684;"HU";"H04L"
15774720;"HU";"A23C"
15774721;"HU";"B23K"
15774721;"HU";"F23D"
15774722;"HU";"A63C"
15774722;"HU";"E01C"
15774723;"HU";"A61K"
15774723;"HU";"A61P"
15774724;"HU";"A61H"
15774724;"HU";"A61N"
15774725;"HU";"A61K"
15774725;"HU";"A61P"
15774725;"HU";"C07D"
15774726;"HU";"C07C"
15774726;"HU";"C12P"
15774726;"HU";"C12R"
15774727;"HU";"C12Q"
15774728;"HU";"G01R"
15774729;"HU";"A61K"
15774729;"HU";"A61P"
15774729;"HU";"C07D"
15774730;"HU";"A63H"
15774731;"HU";"A61F"
15774731;"HU";"A61H"
15774731;"HU";"G09B"
15776836;"HU";"A61K"
15776836;"HU";"A61P"
15776836;"HU";"C07D"
15777909;"HU";"A61K"
15777909;"HU";"A61P"
15777909;"HU";"C07B"
15777909;"HU";"C07D"
15777910;"HU";"C07B"
15777910;"HU";"C07D"
15777911;"HU";"C07B"
15777911;"HU";"C07C"
15777912;"HU";"C07B"
15777912;"HU";"C07D"
15777913;"HU";"G10H"
15777914;"HU";"A61K"
15777914;"HU";"A61P"
15777915;"HU";"A61K"
15777915;"HU";"A61P"
15777915;"HU";"C07D"
15777916;"HU";"A61K"
15777916;"HU";"A61P"
15777916;"HU";"C07D"
15778194;"HU";"C07C"
15778194;"HU";"C12P"
15778194;"HU";"C12R"
15779489;"HU";"F16F"
15780607;"HU";"A61J"
15780607;"HU";"A61K"
15780607;"HU";"A61P"
15782468;"HU";"B07C"
15782468;"HU";"B65G"
15782847;"HU";"F17C"
15784623;"HU";"G01N"
